"","zip","Case.Type","Case.Number","Status","Source","Incident.Date","Incident.Time","Incident.Location.Type","Incident.Location","Incident.City","Incident.State","Incident.County","Child.ID.1","Child.ID.2","Child.ID.3","Child.ID.4","Child.ID.5","Child.ID.6","Child.Race.1","Child.Race.2","Child.Race.3","Child.Race.4","Child.Race.5","Child.Race.6","Child.Gender.1","Child.Gender.2","Child.Gender.3","Child.Gender.4","Child.Gender.5","Child.Gender.6","Child.Perceived.Age.1","Child.Perceived.Age.2","Child.Perceived.Age.3","Child.Perceived.Age.4","Child.Perceived.Age.5","Child.Perceived.Age.6","Offender.Gender.1","Offender.Gender.2","Offender.Gender.3","Offender.Race.1","Offender.Race.2","Offender.Race.3","Offender.Age.1","Offender.Age.2","Offender.Age.3","Offender.Perceived.Age.1","Offender.Perceived.Age.2","Offender.Perceived.Age.3","Vehicle.Style.1","Vehicle.Style.2","Vehicle.Color.1","Vehicle.Color.2","How.Got.Away","How.Got.Away.Detail","Offender.Method.Animal","Offender.Method.Candy","Offender.Method.Money","Offender.Method.Ride","Offender.Method.Other","Offender.Method.Other.Detail","city","state","latitude","longitude"
"468",22193,"Attempted Abduction",1237409,"Closed","Internet",NA,"6:40 PM","Outdoor - Open Area","1400 Geraldine Ct","Dale City","VA","Prince William",516611,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","2","","","","","","Female","","","White","","","26",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Woodbridge","VA",38.646375,-77.34469
"469",22193,"Attempted Abduction",1207978,"Closed","Internet",NA,"3:00 PM","Home - Residence","4410 Echo Ct","Woodbridge","VA","Prince William",477976,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","15","","","","","","Male","","","Black","","","",NA,NA,"20-25","","","","","","","Released","",0,0,0,0,1,"None","Woodbridge","VA",38.646375,-77.34469
"470",22201,"Attempted Abduction",1253390,"Closed","Internet",NA,"7:00 AM","Daycare Facility","1900 N Uhle St","Arlington","VA","Arlington",541514,NA,NA,NA,NA,NA,"Unknown","","","","","","Unknown","","","","","","Unknown","","","","","","Male","","","Unknown","","","45",NA,NA,"","","","","","","","Unknown","",0,0,0,0,1,"None","Arlington","VA",38.885337,-77.09512
"471",22201,"Attempted Abduction",1269871,"Closed","Internet",NA,"3:30 PM","Street","1300 N Stafford St","Arlington","VA","Arlington",564896,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","Unknown","","","",NA,NA,"50-59","","","","","Black","","Other","Subject left the area",0,0,0,0,1,"None","Arlington","VA",38.885337,-77.09512
"472",22202,"Attempted Abduction",1284495,"Closed","Internet",NA,"4:00 PM","School - Bus Stop","600 15th St S","Arlington","VA","Arlington",584690,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","10","","","","","","Male","","","White","","","",NA,NA,"20-29","","","Van","","White","","Ignored/Refused","Broke free",1,1,0,0,0,"","Arlington","VA",38.856795,-77.05628
"473",22203,"Attempted Abduction",1219913,"Closed","Internet",NA,"12:00 AM","Theater","Unknown","Arlington","VA","Arlington",491622,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","White","","","49",NA,NA,"","","","","","","","Ran Away","",0,0,0,0,1,"None","Arlington","VA",38.874979,-77.11455
"474",22203,"Attempted Abduction",1269870,"Closed","Internet",NA,"3:25 PM","Street","200 N Park Dr","Arlington","VA","Arlington",564892,564897,NA,NA,NA,NA,"Unknown","Unknown","","","","","Female","Female","","","","","Unknown","Unknown","","","","","Male","","","Hispanic","","","",NA,NA,"Unknown","","","Pickup Truck","","Blue, Dark","","Other","Suspect drove away",0,0,0,0,1,"None","Arlington","VA",38.874979,-77.11455
"475",22203,"Attempted Abduction",1276324,"Closed","Internet",2016-08-09,"3:00 PM","Street","4400 N Carlin Springs Rd","Arlington","VA","Arlington",573913,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","11","","","","","","Male","","","Unknown","","","",NA,NA,"30","","","Van","","White","","Ran Away","",0,0,0,0,1,"Question","Arlington","VA",38.874979,-77.11455
"476",22204,"Attempted Abduction",1269869,"Closed","Internet",2016-07-04,"4:30 PM","Street","5200 8th Rd S","Arlington","VA","Arlington",564890,564891,NA,NA,NA,NA,"Unknown","Unknown","","","","","Male","Female","","","","","Unknown","Unknown","","","","","Male","","","Hispanic","","","",NA,NA,"30-39","","","Pickup Truck","","Dark","","Ignored/Refused","Subject left the area",0,0,0,1,1,"Unknown","Arlington","VA",38.860247,-77.09627
"477",22204,"Attempted Abduction",1282351,"Closed","Internet",2016-09-11,"12:00 AM","Daycare Facility","600 S Carlin Springs Rd","Arlington","VA","Arlington",581807,NA,NA,NA,NA,NA,"Unknown","","","","","","Unknown","","","","","","Unknown","","","","","","Male","","","Hispanic","","","",NA,NA,"30-39","","","","","","","Other","The subjects fled",0,0,0,0,1,"None","Arlington","VA",38.860247,-77.09627
