"case_number","case_type","missing_date","age_missing","gender","race","missing_city","missing_state","missing_zip","vehicle_style","vehicle_color"
1254967,"Lost Injured Missing","07/11/2015",0,"Male","Black","Wichita","KS","67204",NA,NA
1255660,"Lost Injured Missing","09/09/2015",0,"Male","White","North Port","FL","34287",NA,NA
1261646,"Lost Injured Missing","01/22/2016",0,"Female","Hispanic","Fellsmere","FL",NA,NA,NA
1279283,"Lost Injured Missing","09/22/2016",0,"Male","Black","Greenbelt","MD","20771","Hearse","Black"
1286183,"Lost Injured Missing","01/10/2017",0,"Male","Biracial","Jackson","MS","39212","Sedan, 4 door","Gray"
1296732,"Lost Injured Missing","04/30/2017",0,"Female","Black","Hampton","VA","23663","Sedan, 4 door","Black"
1298843,"Lost Injured Missing","06/02/2017",0,"Female","White","Goshen","CA","93227",NA,NA
1298843,"Lost Injured Missing","06/02/2017",0,"Female","White","Goshen","CA","93227",NA,NA
1065843,"Non Family Abduction","03/10/2007",0,"Female","Black","Lubbock","TX","79412","Pickup Truck","Red"
1065843,"Non Family Abduction","03/10/2007",0,"Female","Black","Lubbock","TX","79412","Pickup Truck","Red"
1072417,"Non Family Abduction","05/31/2007",0,"Female","Hispanic","Chino Valley","AZ","86323","Truck","White"
1077987,"Non Family Abduction","08/23/2007",0,"Female","White","Alhambra","CA","91803",NA,NA
1079371,"Non Family Abduction","09/13/2007",0,"Female","Black","Detroit","MI",NA,NA,NA
1090757,"Non Family Abduction","03/07/2008",0,"Male","White","Lewisburg","TN","37091",NA,"Red"
1096679,"Non Family Abduction","05/24/2008",0,"Female","Black","Decatur","GA",NA,"Sedan, 4 door","Silver"
1110946,"Non Family Abduction","11/28/2008",0,"Male","White","Chicago","IL",NA,"Van","Green, Light"
1118824,"Non Family Abduction","03/23/2009",0,"Female","Hispanic","Plant City","FL","33566","Sedan, 4 door","Blue"
1118824,"Non Family Abduction","03/23/2009",0,"Female","Hispanic","Plant City","FL","33566","Sedan, 4 door","Blue"
