Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1279941,Closed,Internet,10/21/2016,6:00 PM,Playgrnd,9 1/4 Ave,Hanford,CA,93230,Kings,578693,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,Red,,Ran Away,Screamed,0,0,0,0,-1,None
Attempted Abduction,1260251,Closed,Internet,12/15/2015,12:00 AM,Trans Facility,9 St Felix St,Brooklyn,NY,11217,New York,551190,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Black,,,29,,,,,,,,,,Ignored/Refused,,0,0,0,0,-1,Conversation
Attempted Abduction,1260250,Closed,Internet,12/9/2015,8:15 AM,Trans Facility,9 St Felix St,Brooklyn,NY,11217,New York,551189,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,Black,,,29,,,,,,,,,,Adult/Child Intervened,Child screamed,0,0,0,0,-1,None
Attempted Abduction,1257477,Closed,Internet,11/1/2015,11:00 AM,Street,900 Diamond Springs Rd,Virginia Beach,VA,23455,Virginia Beach City,547294,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,,,Black,,,,,,30-39,,,Sport Utility,,,,Unknown,,0,0,0,-1,0,
Attempted Abduction,1278929,Closed,Internet,10/6/2016,12:00 AM,Med - Hospital,900 E Broadway Ave,Bismarck,ND,58501,Burleigh,577308,,,,,,White,,,,,,Female,,,,,,1,,,,,,Female,,,White,,,27,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1278278,Closed,Internet,10/4/2016,12:00 AM,Street,900 Holman Ave,Covington,KY,41011,Kenton,576442,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,30-39,,,,,Black,,None,,0,0,0,0,-1,None
Attempted Abduction,1225749,Closed,Internet,11/6/2013,11:30 AM,Street,900 McKie St,San Marcos,TX,78666,Hays,499431,,,,,,Unknown,,,,,,Female,,,,,,4,,,,,,Male,Male,Male,Hispanic,Hispanic,Hispanic,,,,35-45,35-39,18-20,Truck,,,,Released,,0,0,0,0,-1,Accident
Attempted Abduction,1252956,Closed,Internet,8/4/2015,3:00 PM,Park,900 Meadowbrook Dr,Syracuse,NY,13210,Onondaga,540872,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,White,,,26,,,,,,,,Black,,Ignored/Refused,Ran away,0,0,0,0,-1,None
Attempted Abduction,1266026,Closed,Internet,4/1/2016,11:00 PM,Street,900 N Berlyn Ave,Ontario,CA,91764,San Bernardino,559516,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,,,Hispanic,,,,,,30,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1242448,Closed,Internet,12/17/2014,12:00 AM,Street,900 N Meadows Ct,Columbus,OH,43229,Franklin,524008,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,Black,,,,,,30-35,,,Van,,White,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1260969,Closed,Internet,1/12/2016,7:20 AM,Street,900 Roosevelt St,South Bend,IN,46616,St. Joseph,552201,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Ignored/Refused,,0,0,0,0,-1,Question
